ref,state,constituency,img_link,won_status,votes,votes_percentage,name,party_name
1,Assam,Barpeta(3),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/PHANI-2024-20240422060626.jpg,won,860113,(+ 222351),PHANI BHUSAN CHOUDHURY,Asom Gana Parishad
2,Assam,Barpeta(3),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/DEEPB-2024-20240422060546.jpg,lost,637762,( -222351),DEEP BAYAN,Indian National Congress
3,Assam,Barpeta(3),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/MANOR-2024-20240422060744.jpg,lost,96138,( -763975),MANORANJAN TALUKDAR,Communist Party of India  (Marxist)
4,Assam,Barpeta(3),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/ABULK-2024-6334.jpg,lost,16432,( -843681),ABUL KALAM AZAD,All India Trinamool Congress
5,Assam,Barpeta(3),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/DEWAN-2024-6439.jpg,lost,9941,( -850172),DEWAN MOHIBUL ISLAM,Independent
6,Assam,Barpeta(3),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/SAMEJ-2024-20240420031235.jpg,lost,9692,( -850421),SAMEJ UDDIN,Bodoland Peoples Front
7,Assam,Barpeta(3),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/DULUA-2024-4901.jpg,lost,9338,( -850775),DULU AHMED,Independent
8,Assam,Barpeta(3),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/MATIA-2024-20240420025719.jpg,lost,7935,( -852178),MATIAR RAHMAN,Independent
9,Assam,Barpeta(3),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/JAGAN-2024-20240422061354.jpg,lost,5548,( -854565),JAGANNATH RAY,Independent
10,Assam,Barpeta(3),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/SHAJA-2024-5578.jpg,lost,4448,( -855665),SHAJAHAN ALI KHAN,Voters Party  International
11,Assam,Barpeta(3),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/AYNAL-2024-6072.jpg,lost,3192,( -856921),AYNAL HAQUE,Independent
12,Assam,Barpeta(3),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/CHITR-2024-5585.jpg,lost,3131,( -856982),CHITRALEKHA DAS,Socialist Unity Centre Of India (COMMUNIST)
13,Assam,Barpeta(3),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/AMZAD-2024-20240422061140.jpg,lost,2679,( -857434),AMZAD ALI,Republican Party of India (Athawale)
14,Assam,Barpeta(3),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S03/ABUBA-2024-6266.jpg,lost,2477,( -857636),ABUBAKKAR SIDDIQUE,Rashtriya Ulama Council
15,Assam,Barpeta(3),img/nota.jpg,,17117,( -842996),NOTA,None of the Above
16,Arunachal Pradesh,Arunachal East(2),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/TAPIR-2024-987.jpg,won,145581,(+ 30421),TAPIR GAO,Bharatiya Janata Party
17,Arunachal Pradesh,Arunachal East(2),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/BOSIR-2024-1603.jpg,lost,115160,( -30421),BOSIRAM SIRAM,Indian National Congress
18,Arunachal Pradesh,Arunachal East(2),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/TAMAT-2024-2012.jpg,lost,27603,( -117978),TAMAT GAMOH,Independent
19,Arunachal Pradesh,Arunachal East(2),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/SOTAI-2024-1650.jpg,lost,14213,( -131368),SOTAI KRI,Independent
20,Arunachal Pradesh,Arunachal East(2),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/OMAKN-2024-997.jpg,lost,9369,( -136212),OMAK NITIK,Independent
21,Arunachal Pradesh,Arunachal East(2),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S02/BANDE-2024-1976.jpg,lost,6622,( -138959),BANDEY MILI,Arunachal Democratic Party
22,Arunachal Pradesh,Arunachal East(2),img/nota.jpg,,4895,( -140686),NOTA,None of the Above
23,Andhra Pradesh,Machilipatnam(11),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/BALAS-2024-7952.jpg,won,724439,(+ 223179),BALASHOWRY VALLABHANENI,Janasena Party
24,Andhra Pradesh,Machilipatnam(11),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/SIMHA-2024-6919.jpg,lost,501260,( -223179),SIMHADRI CHANDRA SEKHAR RAO,Yuvajana Sramika Rythu Congress Party
25,Andhra Pradesh,Machilipatnam(11),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/GOLLU-2024-7976.jpg,lost,31825,( -692614),GOLLU KRISHNA,Indian National Congress
26,Andhra Pradesh,Machilipatnam(11),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/BAALS-2024-9130.jpg,lost,11141,( -713298),BAAL SHOURI CHODABATHINA,Jatiya Jana Sena Party
27,Andhra Pradesh,Machilipatnam(11),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/DEVAM-2024-6999.jpg,lost,10028,( -714411),DEVAMANI DEVARAPALLI,Bahujan Samaj Party
28,Andhra Pradesh,Machilipatnam(11),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/KOMMA-2024-8996.jpg,lost,5254,( -719185),KOMMARAJU SIVA NARASIMHA RAO,All India Forward Bloc
29,Andhra Pradesh,Machilipatnam(11),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/VALLA-2024-7455.jpg,lost,5220,( -719219),VALLABHANENI NAGA PAVAN KUMAR,Independent
30,Andhra Pradesh,Machilipatnam(11),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/MARAD-2024-9141.jpg,lost,2214,( -722225),MARADANI K R SWAMY,Jai Maha Bharath Party
31,Andhra Pradesh,Machilipatnam(11),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/GANDH-2024-8044.jpg,lost,1991,( -722448),GANDHI  DHANEKULA,Independent
32,Andhra Pradesh,Machilipatnam(11),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/PAMUL-2024-9127.jpg,lost,1582,( -722857),PAMULA BALA SOWRYAMMA,Independent
33,Andhra Pradesh,Machilipatnam(11),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/ANUSH-2024-9089.jpg,lost,1235,( -723204),ANUSHA YERUVA,Independent
34,Andhra Pradesh,Machilipatnam(11),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/GUDAV-2024-6992.jpg,lost,1111,( -723328),GUDAVALLI VENKATA KEDARESWARA RAO,Independent
35,Andhra Pradesh,Machilipatnam(11),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/JOGIV-2024-9056.jpg,lost,1022,( -723417),JOGI VEERANJANEYULU,Independent
36,Andhra Pradesh,Machilipatnam(11),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/DAMOD-2024-9114.jpg,lost,930,( -723509),DAMODARA RAO GUDAVALLI,Independent
37,Andhra Pradesh,Machilipatnam(11),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S01/APPAR-2024-9072.jpg,lost,626,( -723813),APPARAO ENNETI,Independent
38,Andhra Pradesh,Machilipatnam(11),img/nota.jpg,,12126,( -712313),NOTA,None of the Above
39,Andaman & Nicobar Islands,Andaman & Nicobar Islands(1),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U01/BISHN-2024-169.jpg,won,102436,(+ 24396),BISHNU PADA RAY,Bharatiya Janata Party
40,Andaman & Nicobar Islands,Andaman & Nicobar Islands(1),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U01/KULDE-2024-2038.jpg,lost,78040,( -24396),KULDEEP RAI SHARMA,Indian National Congress
41,Andaman & Nicobar Islands,Andaman & Nicobar Islands(1),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U01/MANOJ-2024-970.jpg,lost,8254,( -94182),MANOJ PAUL,Andaman Nicobar Democratic Congress
42,Andaman & Nicobar Islands,Andaman & Nicobar Islands(1),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U01/DAYYA-2024-944.jpg,lost,6017,( -96419),D AYYAPPAN,Communist Party of India  (Marxist)
43,Andaman & Nicobar Islands,Andaman & Nicobar Islands(1),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U01/VKA-2024-2102.jpg,lost,2203,( -100233),V.K. ABDUL AZIZ,Independent
44,Andaman & Nicobar Islands,Andaman & Nicobar Islands(1),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U01/KJBSE-2024-986.jpg,lost,914,( -101522),K J B SELVARAJ,All India Anna Dravida Munnetra Kazhagam
45,Andaman & Nicobar Islands,Andaman & Nicobar Islands(1),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U01/DRARU-2024-938.jpg,lost,719,( -101717),DR ARUN KUMAR MALLIK,Bahujan Samaj Party
46,Andaman & Nicobar Islands,Andaman & Nicobar Islands(1),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U01/RINKU-2024-2056.jpg,lost,542,( -101894),RINKU MALA MONDAL,Independent
47,Andaman & Nicobar Islands,Andaman & Nicobar Islands(1),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U01/KVENK-2024-1997.jpg,lost,507,( -101929),K VENKAT RAM BABU,Independent
48,Andaman & Nicobar Islands,Andaman & Nicobar Islands(1),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U01/USHAK-2024-2088.jpg,lost,380,( -102056),USHA KUMARI,Independent
49,Andaman & Nicobar Islands,Andaman & Nicobar Islands(1),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U01/SALAM-2024-1955.jpg,lost,351,( -102085),SALAMAT MONDAL,Socialist Unity Centre Of India (COMMUNIST)
50,Andaman & Nicobar Islands,Andaman & Nicobar Islands(1),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U01/ANAND-2024-2008.jpg,lost,342,( -102094),ANAND RAMNATH ARLEKAR,Independent
51,Andaman & Nicobar Islands,Andaman & Nicobar Islands(1),img/nota.jpg,,1809,( -100627),NOTA,None of the Above
52,Kerala,Kollam(18),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/NKPRE-2024-3529.jpg,won,443628,(+ 150302),N K PREMACHANDRAN,Revolutionary Socialist Party
53,Kerala,Kollam(18),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/MMUKE-2024-2438.jpg,lost,293326,( -150302),M MUKESH,Communist Party of India  (Marxist)
54,Kerala,Kollam(18),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/KRISH-2024-20240408055213.jpg,lost,163210,( -280418),KRISHNAKUMAR G,Bharatiya Janata Party
55,Kerala,Kollam(18),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/VIPIN-2024-3193.jpg,lost,2194,( -441434),VIPINLAL VIDHYADHARAN,Bahujan Samaj Party
56,Kerala,Kollam(18),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/PREMA-2024-3876.jpg,lost,1734,( -441894),PREMACHANDRAN NAIR,Independent
57,Kerala,Kollam(18),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/SURES-2024-2462.jpg,lost,1374,( -442254),GOKULAM SURESH KUMAR,Independent
58,Kerala,Kollam(18),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/PRADE-2024-3228.jpg,lost,835,( -442793),PRADEEP KOTTARAKKARA,Bharatheeya Jawan Kisan Party
59,Kerala,Kollam(18),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/TWINK-2024-2501.jpg,lost,708,( -442920),TWINKLE PRABHAKARAN,Socialist Unity Centre Of India (COMMUNIST)
60,Kerala,Kollam(18),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/NOUSH-2024-2766.jpg,lost,579,( -443049),BRO NOUSHAD  SHERIFF J,Independent
61,Kerala,Kollam(18),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/JOSE-2024-2878.jpg,lost,559,( -443069),JOSE SARANATH,Ambedkarite Party of India
62,Kerala,Kollam(18),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/PKRIS-2024-2838.jpg,lost,549,( -443079),P KRISHNAMMAL,Marxist Communist Party of India (United)
63,Kerala,Kollam(18),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S11/JAYAR-2024-2751.jpg,lost,449,( -443179),N JAYARAJAN,Independent
64,Kerala,Kollam(18),img/nota.jpg,,6546,( -437082),NOTA,None of the Above
65,Karnataka,Kolar(28),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/MMAL-2024-2697.jpg,won,691481,(+ 71388),M. MALLESH BABU,Janata Dal  (Secular)
66,Karnataka,Kolar(28),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/GOUTH-2024-3600.jpg,lost,620093,( -71388),K V GOWTHAM,Indian National Congress
67,Karnataka,Kolar(28),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/SUMAN-2024-20240408023201.jpg,lost,6487,( -684994),SUMAN H N,Independent
68,Karnataka,Kolar(28),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/SRINI-2024-3655.jpg,lost,6163,( -685318),HOLUR SRINIVASA,Independent
69,Karnataka,Kolar(28),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/SURES-2024-3053.jpg,lost,4732,( -686749),S B SURESHA,Bahujan Samaj Party
70,Karnataka,Kolar(28),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/KRDEV-2024-3942.jpg,lost,4597,( -686884),K R DEVARAJA,Delhi Janta Party
71,Karnataka,Kolar(28),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/MVENK-2024-3111.jpg,lost,3354,( -688127),DR M. VENKATASWAMY,Independent
72,Karnataka,Kolar(28),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/RANJI-2024-20240403011519.jpg,lost,2118,( -689363),R RANJITHKUMAR,Independent
73,Karnataka,Kolar(28),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/SNNAR-2024-3844.jpg,lost,1985,( -689496),S N NARAYANASWAMY V,Independent
74,Karnataka,Kolar(28),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/DGOPA-2024-3012.jpg,lost,1669,( -689812),D GOPALAKRISHNA,Socialist Party (India)
75,Karnataka,Kolar(28),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/DEVAR-2024-2797.jpg,lost,1354,( -690127),DEVARAJA A ALUSURUDINNE,Uttama Prajaakeeya Party
76,Karnataka,Kolar(28),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/MSBAD-2024-3808.jpg,lost,1116,( -690365),M S BADARINARAYANA,Independent
77,Karnataka,Kolar(28),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/MAHES-2024-2444.jpg,lost,1065,( -690416),MAHESH A V,Karnataka Rashtra Samithi
78,Karnataka,Kolar(28),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/THIMM-2024-20240408024755.jpg,lost,864,( -690617),THIMMARAYAPPA,Republican Party of India (Karnataka)
79,Karnataka,Kolar(28),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/RRAJE-2024-3509.jpg,lost,751,( -690730),R RAJENDRA,Independent
80,Karnataka,Kolar(28),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/MMUNI-2024-3432.jpg,lost,604,( -690877),M MUNIGANGAPPA,Independent
81,Karnataka,Kolar(28),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/MCHAL-2024-20240408024820.jpg,lost,521,( -690960),M  C HALLI VENU,Viduthalai Chiruthaigal Katchi
82,Karnataka,Kolar(28),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S10/KRISH-2024-3897.jpg,lost,443,( -691038),KRISHNAIAH N,Independent
83,Karnataka,Kolar(28),img/nota.jpg,,5831,( -685650),NOTA,None of the Above
84,Jharkhand,Giridih(6),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/CHAND-2024-11230.jpg,won,451139,(+ 80880),CHANDRA PRAKASH CHOUDHARY,AJSU Party
85,Jharkhand,Giridih(6),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/MATHU-2024-11139.jpg,lost,370259,( -80880),MATHURA PRASAD MAHATO,Jharkhand Mukti Morcha
86,Jharkhand,Giridih(6),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/JAIRA-2024-9627.jpg,lost,347322,( -103817),JAIRAM KUMAR MAHATO,Independent
87,Jharkhand,Giridih(6),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/KAMAL-2024-11054.jpg,lost,14074,( -437065),KAMAL PRASAD,Bahujan Samaj Party
88,Jharkhand,Giridih(6),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/SUBOD-2024-9659.jpg,lost,13106,( -438033),SUBODH KUMAR YADAV,Independent
89,Jharkhand,Giridih(6),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/RAMES-2024-10283.jpg,lost,11020,( -440119),RAMESHWAR DUSADH,Independent
90,Jharkhand,Giridih(6),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/SUNIT-2024-10357.jpg,lost,10944,( -440195),SUNITA TUDU,Independent
91,Jharkhand,Giridih(6),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/MDAIN-2024-11540.jpg,lost,6939,( -444200),MD AINUL ANSARI,Bahujan Mukti Party
92,Jharkhand,Giridih(6),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/DWARA-2024-10196.jpg,lost,5627,( -445512),DWARAKA PRASAD LALA,Independent
93,Jharkhand,Giridih(6),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/KALAW-2024-20240507023956.jpg,lost,5430,( -445709),KALAWATI DEVI,Independent
94,Jharkhand,Giridih(6),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/GYANE-2024-11499.jpg,lost,5356,( -445783),GYANESHWAR PRASAD,Lokhit Adhikar Party
95,Jharkhand,Giridih(6),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/SHIVJ-2024-9752.jpg,lost,4254,( -446885),SHIVJI PRASAD,Right to Recall Party
96,Jharkhand,Giridih(6),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/PRAMO-2024-9786.jpg,lost,3825,( -447314),PRAMOD RAM,Peoples Party of India (Democratic)
97,Jharkhand,Giridih(6),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/USHAS-2024-9421.jpg,lost,3761,( -447378),USHA SINGH,Independent
98,Jharkhand,Giridih(6),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/PAPPU-2024-10971.jpg,lost,3216,( -447923),PAPPU KUMAR NISHAD,Bhartiya Lokmat Rashtrwadi Party
99,Jharkhand,Giridih(6),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S27/1714553073WhatsAppImage2024-04-29at100537577de179ok.jpg,lost,2517,( -448622),SUBHASH KUMAR THAKUR,Sarv Samaj Party
100,Jharkhand,Giridih(6),img/nota.jpg,,6044,( -445095),NOTA,None of the Above
101,Jammu and Kashmir,BARAMULLA(1),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/ABDUL-2024-9272.jpg,won,472481,(+ 204142),ABDUL RASHID SHEIKH,Independent
102,Jammu and Kashmir,BARAMULLA(1),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/OMARA-2024-9748.jpg,lost,268339,( -204142),OMAR ABDULLAH,Jammu & Kashmir National Conference
103,Jammu and Kashmir,BARAMULLA(1),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SAJAD-2024-9605.jpg,lost,173239,( -299242),SAJAD GANI LONE,Jammu & Kashmir People Conference
104,Jammu and Kashmir,BARAMULLA(1),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MIRMO-2024-9788.jpg,lost,27488,( -444993),MIR MOHAMMAD FAYAZ,Jammu & Kashmir Peoples Democratic Party
105,Jammu and Kashmir,BARAMULLA(1),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SURAI-2024-10487.jpg,lost,21618,( -450863),SURAIYA NISSAR,Independent
106,Jammu and Kashmir,BARAMULLA(1),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/FIRDO-2024-10523.jpg,lost,15722,( -456759),FIRDOUS AHMAD BHAT,Independent
107,Jammu and Kashmir,BARAMULLA(1),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SHAFE-2024-10176.jpg,lost,6214,( -466267),SHAFEEQA BEGUM,Independent
108,Jammu and Kashmir,BARAMULLA(1),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/PEERZ-2024-9629.jpg,lost,5566,( -466915),PEERZADA MUDASIR RASHID SHAH,Jammu & Kashmir National Panthers Party (Bhim)
109,Jammu and Kashmir,BARAMULLA(1),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/KHURS-2024-9844.jpg,lost,4268,( -468213),KHURSHEED AHMAD SHAH,Rashtriya Jankranti Party
110,Jammu and Kashmir,BARAMULLA(1),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MOHAM-2024-10394.jpg,lost,4063,( -468418),MOHAMMAD SULTAN GANAIE,Independent
111,Jammu and Kashmir,BARAMULLA(1),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SHADI-2024-10408.jpg,lost,3670,( -468811),SHADIB HANIEF KHAN,Independent
112,Jammu and Kashmir,BARAMULLA(1),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MUDAS-2024-9259.jpg,lost,3218,( -469263),MUDASIR AHMAD TANTARY,Independent
113,Jammu and Kashmir,BARAMULLA(1),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/NAZIR-2024-9645.jpg,lost,2983,( -469498),NAZIR AHMAD SOFI,Independent
114,Jammu and Kashmir,BARAMULLA(1),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SHABI-2024-10530.jpg,lost,2700,( -469781),SHABIR AHMAD DAR,Independent
115,Jammu and Kashmir,BARAMULLA(1),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/HILAL-2024-9405.jpg,lost,2689,( -469792),HILAL AHMAD WAGAY,Independent
116,Jammu and Kashmir,BARAMULLA(1),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MEHRA-2024-9810.jpg,lost,2570,( -469911),MEHRAJ UDDIN NAJAR,Independent
117,Jammu and Kashmir,BARAMULLA(1),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/SYEDA-2024-10378.jpg,lost,2417,( -470064),SYED AMEER SUHAIL,Independent
118,Jammu and Kashmir,BARAMULLA(1),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/FAROO-2024-9924.jpg,lost,2343,( -470138),FAROOQ AHMAD BHAT,National Youth Party
119,Jammu and Kashmir,BARAMULLA(1),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/ARUNK-2024-10535.jpg,lost,2241,( -470240),ARUN KUMAR RAINA,Independent
120,Jammu and Kashmir,BARAMULLA(1),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MUNIR-2024-10445.jpg,lost,2019,( -470462),MUNIR AHMAD KHAN,Jammu and Kashmir Nationalist People's Front
121,Jammu and Kashmir,BARAMULLA(1),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MUZAF-2024-9397.jpg,lost,1671,( -470810),MUZAFFAR HUSSAIN DAR,Independent
122,Jammu and Kashmir,BARAMULLA(1),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/U08/MUSHT-2024-9656.jpg,lost,1397,( -471084),MUSHTAQ AHMAD MIR,National Loktantrik Party
123,Jammu and Kashmir,BARAMULLA(1),img/nota.jpg,,4984,( -467497),NOTA,None of the Above
124,Himachal Pradesh,SHIMLA(4),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/SURES-2024-12330.jpg,won,519748,(+ 91451),Suresh Kumar Kashyap,Bharatiya Janata Party
125,Himachal Pradesh,SHIMLA(4),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/VINOD-2024-20240513042021.jpg,lost,428297,( -91451),Vinod Sultanpuri,Indian National Congress
126,Himachal Pradesh,SHIMLA(4),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/ANILK-2024-11740.jpg,lost,6500,( -513248),Anil Kumar Manget,Bahujan Samaj Party
127,Himachal Pradesh,SHIMLA(4),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/SURES-2024-11895.jpg,lost,4814,( -514934),Suresh Kumar,Rashtriya Devbhumi Party
128,Himachal Pradesh,SHIMLA(4),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S08/MADAN-2024-12108.jpg,lost,4676,( -515072),Madan Lal,Akhil Bhartiya Parivar Party
129,Himachal Pradesh,SHIMLA(4),img/nota.jpg,,5930,( -513818),NOTA,None of the Above
130,Haryana,FARIDABAD(10),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S07/KRISH-2024-11183.jpg,won,788569,(+ 172914),KRISHAN PAL,Bharatiya Janata Party
131,Haryana,FARIDABAD(10),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S07/MAHEN-2024-10265.jpg,lost,615655,( -172914),MAHENDER PRATAP SINGH,Indian National Congress
132,Haryana,FARIDABAD(10),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S07/KISHA-2024-10910.jpg,lost,25206,( -763363),KISHAN THAKUR,Bahujan Samaj Party
133,Haryana,FARIDABAD(10),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S07/SUNIL-2024-10861.jpg,lost,8085,( -780484),SUNIL TEWATIA,Indian National Lok Dal
134,Haryana,FARIDABAD(10),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S07/NALIN-2024-9711.jpg,lost,5361,( -783208),NALIN HOODA,Jannayak Janta Party
135,Haryana,FARIDABAD(10),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S07/SAWAT-2024-11214.jpg,lost,2955,( -785614),SAWATANTAR SINGH CHAUHAN,Jan Shakti Dal
136,Haryana,FARIDABAD(10),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S07/NEERA-2024-11217.jpg,lost,2108,( -786461),NEERAJ JATAV,Independent
137,Haryana,FARIDABAD(10),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S07/HARIS-2024-10258.jpg,lost,1584,( -786985),HARI SHANKER RAJVANS,Adim Bhartiya Dal
138,Haryana,FARIDABAD(10),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S07/ATUL-2024-11178.jpg,lost,1458,( -787111),ATUL,Independent
139,Haryana,FARIDABAD(10),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S07/PANDI-2024-11259.jpg,lost,1444,( -787125),PANDIT SUMIT KUMAR SHARMA,AARAKSHAN VIRODHI PARTY
140,Haryana,FARIDABAD(10),https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S07/BRIJA-2024-11188.jpg,lost,1380,( -787189),BRIJABALA,Peoples Party of India (Democratic)
